numer_sta,date,t,u,pres,tend24
7690,20200109030000,280.450000,53,102530,10
7015,20200109060000,285.050000,88,100900,-790
7110,20200109060000,284.950000,100,100080,-1270
7149,20200109060000,284.450000,92,100820,-700
7190,20200109060000,281.650000,94,100530,-610
7481,20200109060000,276.550000,75,99700,-530
7630,20200109060000,282.050000,86,100670,-650
7690,20200109060000,279.350000,55,102540,-10
7015,20200109090000,285.250000,88,100710,-1130
7110,20200109090000,285.050000,100,99780,-1630
7149,20200109090000,284.550000,90,100670,-990
7190,20200109090000,282.750000,89,100370,-840
7481,20200109090000,281.250000,58,99630,-730
7630,20200109090000,283.950000,79,100690,-760
7690,20200109090000,281.050000,51,102570,-130
7015,20200109120000,285.950000,88,100510,-1340
7110,20200109120000,282.650000,86,99680,-1670
7149,20200109120000,284.750000,94,100460,-1190
7190,20200109120000,285.350000,82,100180,-930
7481,20200109120000,286.150000,48,99380,-880
7630,20200109120000,286.850000,67,100520,-790
7690,20200109120000,287.550000,49,102420,-230
7015,20200109150000,285.650000,89,100370,-1470
7110,20200109150000,283.550000,78,99350,-1800
7149,20200109150000,284.450000,90,100230,-1320
7190,20200109150000,285.950000,65,99970,-1070
7481,20200109150000,286.050000,33,99200,-960
7630,20200109150000,286.050000,71,100250,-890
7690,20200109150000,286.950000,71,102310,-350
7015,20200109180000,285.150000,89,100270,-1590
7110,20200109180000,281.050000,94,99030,-1980
7149,20200109180000,283.650000,95,100180,-1390
7190,20200109180000,284.350000,69,99860,-1170
7481,20200109180000,284.850000,44,99200,-1000
7630,20200109180000,284.450000,78,100320,-820
7690,20200109180000,282.250000,74,102290,-460
7015,20200109210000,284.350000,86,100270,-1420
7110,20200109210000,282.050000,88,99870,-910
7149,20200109210000,283.650000,88,100110,-1330
7190,20200109210000,283.750000,69,99770,-1190
7481,20200109210000,283.750000,63,99230,-890
7630,20200109210000,283.650000,86,100690,-390
7690,20200109210000,280.650000,69,102290,-440
7015,20200110000000,282.050000,83,100440,-980
7110,20200110000000,281.350000,86,100520,10
7149,20200110000000,282.950000,86,100050,-1220
7190,20200110000000,282.750000,76,99950,-880
7481,20200110000000,282.650000,83,99310,-750
7630,20200110000000,282.450000,94,100760,-170
7690,20200110000000,279.850000,65,102220,-440
7015,20200110030000,281.950000,92,100550,-570
7110,20200110030000,280.950000,79,101010,670
7149,20200110030000,282.450000,91,100120,-910
7190,20200110030000,281.950000,82,100030,-670
7481,20200110030000,282.150000,81,99260,-590
7630,20200110030000,281.850000,91,100760,-10
7690,20200110030000,278.550000,65,102170,-360
7015,20200110060000,281.050000,90,100870,-30
7110,20200110060000,281.850000,76,101370,1290
7149,20200110060000,282.450000,89,100500,-320
7190,20200110060000,281.650000,81,100050,-480
7481,20200110060000,281.750000,76,99370,-330
7630,20200110060000,281.250000,89,100840,170
7690,20200110060000,279.750000,57,102090,-450
7015,20200110090000,280.150000,90,101370,660
7110,20200110090000,281.650000,81,101620,1840
7149,20200110090000,281.250000,82,101090,420
7190,20200110090000,282.450000,77,100200,-170
7481,20200110090000,281.950000,75,99550,-80
7630,20200110090000,281.250000,89,101020,330
7690,20200110090000,280.450000,60,102150,-420
7015,20200110120000,280.150000,91,101800,1290
7110,20200110120000,282.850000,69,101850,2170
7149,20200110120000,280.950000,84,101490,1030
7190,20200110120000,284.250000,71,100290,110
7481,20200110120000,283.250000,75,99660,280
7630,20200110120000,282.750000,86,101080,560
7690,20200110120000,282.050000,60,102120,-300
7015,20200110150000,280.450000,83,102100,1730
7110,20200110150000,284.150000,61,101890,2540
7149,20200110150000,281.250000,77,101730,1500
7190,20200110150000,282.950000,85,100560,590
7481,20200110150000,283.350000,69,99810,610
7630,20200110150000,283.150000,85,101140,890
7690,20200110150000,282.350000,68,102090,-220
7015,20200110180000,279.750000,84,102410,2140
7110,20200110180000,279.150000,81,101970,2940
7149,20200110180000,279.950000,86,102030,1850
7190,20200110180000,281.450000,81,100970,1110
7481,20200110180000,281.050000,82,100010,810
7630,20200110180000,280.950000,84,101370,1050
7690,20200110180000,282.150000,77,102170,-120
7015,20200110210000,278.250000,91,102590,2320
7110,20200110210000,279.150000,89,102020,2150
7149,20200110210000,280.050000,81,102200,2090
7190,20200110210000,280.550000,81,101240,1470
7481,20200110210000,280.450000,86,100210,980
7630,20200110210000,278.250000,88,101530,840
7690,20200110210000,282.650000,71,102260,-30
7015,20200111000000,278.750000,83,102700,2260
7110,20200111000000,279.850000,90,102010,1490
7149,20200111000000,278.950000,84,102350,2300
7190,20200111000000,279.750000,88,101400,1450
7481,20200111000000,279.850000,87,100240,930
7630,20200111000000,277.250000,90,101570,810
7690,20200111000000,281.450000,76,102310,90
7015,20200111030000,278.250000,82,102650,2100
7110,20200111030000,282.550000,82,101870,860
7149,20200111030000,275.250000,92,102320,2200
7190,20200111030000,279.350000,87,101470,1440
7481,20200111030000,279.350000,88,100330,1070
7630,20200111030000,276.150000,91,101630,870
7690,20200111030000,281.150000,76,102350,180
7015,20200111060000,277.550000,82,102590,1720
7110,20200111060000,283.050000,75,101780,410
7149,20200111060000,276.750000,88,102270,1770
7190,20200111060000,278.950000,89,101600,1550
7481,20200111060000,278.850000,88,100370,1000
7630,20200111060000,276.750000,95,101630,790
7690,20200111060000,280.550000,76,102410,320
7015,20200111090000,277.850000,81,102570,1200
7110,20200111090000,283.250000,75,101760,140
7149,20200111090000,277.450000,85,102320,1230
7190,20200111090000,279.250000,89,101630,1430
7481,20200111090000,278.250000,90,100440,890
7630,20200111090000,278.150000,93,101680,660
7690,20200111090000,282.850000,68,102540,390
7015,20200111120000,280.050000,75,102440,640
